"BLCA" "BRCA_1" "BRCA_2" "COAD_READ" "HNSC" "KICH" "KIRC" "KIRP" "LIHC" "LUAD" "LUSC" "PRAD" "STES" "THCA" "UCEC"
"LYL1" 10 7 6 11 13 15 1 5 14 2 9 12 3 4 8
"MAF" 13 11 10 14 2 12 1 4 9 7 5 6 8 3 15
"MAFB" 14 2 4 15 1 9 5 13 11 6 3 10 8 7 12
"MAFF" 1 15 12 11 5 4 9 13 14 10 6 2 7 3 8
"MAFG" 11 12 7 2 5 10 9 6 15 4 1 13 3 8 14
"MAFK" 5 13 12 3 8 1 6 10 15 2 9 7 4 11 14
"MAML3" 4 5 12 8 15 3 7 13 14 9 11 1 6 2 10
"MAPK1" 14 8 6 11 7 4 1 12 15 9 3 10 5 2 13
"MAX" 12 2 8 9 5 13 7 11 15 6 3 4 14 1 10
"MAZ" 8 4 5 3 9 14 12 11 15 10 6 1 2 13 7
"MBD1" 1 9 10 14 3 4 5 6 15 11 2 13 12 7 8
"MBD2" 6 5 3 13 4 14 7 8 15 11 1 12 10 2 9
"MBD3" 3 14 11 9 8 6 13 4 10 12 5 2 15 7 1
"MBD4" 7 3 2 13 9 15 6 10 14 4 1 12 11 5 8
"MBOAT4" 9 7 6 12 11 14 1 5 3 4 8 15 2 13 10
"MBTD1" 2 1 3 10 14 15 9 11 13 7 6 8 4 5 12
"MCM2" 6 8 3 2 4 14 15 12 13 9 1 11 7 10 5
"MCM3" 3 7 1 2 8 15 12 10 13 9 4 14 6 11 5
"MCM7" 5 9 3 1 6 15 13 10 14 8 2 12 7 11 4
"MCRS1" 5 10 12 3 11 2 14 4 15 8 7 9 13 6 1
"MECOM" 4 10 12 5 13 2 8 14 15 6 7 11 3 9 1
"MECP2" 12 5 8 13 14 1 3 7 15 9 10 4 6 2 11
"MED1" 9 1 2 6 7 14 10 11 15 4 5 8 3 12 13
"MED12" 7 4 3 5 14 13 10 12 15 8 6 9 1 11 2
"MEF2A" 13 6 4 14 9 1 2 7 15 8 5 11 3 10 12
"MEF2B" 4 10 5 12 15 13 7 6 14 2 1 8 11 9 3
"MEF2C" 13 5 4 15 10 7 1 9 12 3 11 8 6 2 14
"MEF2D" 14 1 7 10 11 8 2 15 13 4 9 5 3 6 12
"MEIS1" 3 9 10 12 8 11 5 14 13 7 2 6 4 15 1
"MEN1" 2 7 4 6 11 14 15 9 13 8 5 3 10 12 1
"MGEA5" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"MIER1" 12 3 5 8 11 14 2 7 15 4 10 9 1 6 13
"MITF" 13 6 10 12 14 2 3 1 15 8 11 9 7 4 5
"MKL1" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"MKL2" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"MLLT1" 4 5 6 7 13 9 14 11 15 12 8 1 3 10 2
"MLLT3" 13 9 12 1 14 7 8 3 15 4 11 2 10 5 6
"MNT" 5 12 13 9 4 3 14 6 15 10 7 8 1 2 11
"MORC2" 3 4 1 9 5 15 11 14 13 6 2 8 10 12 7
"MRE11A" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"MTA2" 1 9 5 6 4 12 13 14 15 10 3 7 8 11 2
"MTA3" 7 1 3 9 12 14 11 10 15 6 5 4 8 13 2
"MXD3" 2 8 4 3 11 15 13 10 5 7 9 12 6 14 1
"MXI1" 14 6 7 9 11 15 1 5 12 8 4 3 13 2 10
"MYB" 8 1 4 2 10 15 12 13 14 9 7 6 3 11 5
"MYBL2" 7 9 2 1 6 15 12 13 10 8 3 11 4 14 5
"MYC" 11 8 4 1 2 15 7 10 13 9 3 6 5 14 12
"MYCN" 2 9 4 5 12 13 11 14 10 8 7 15 3 6 1
"MYF5" 13 5 14 12 1 2 7 11 15 9 10 3 6 4 8
"MYH11" 5 8 12 4 15 10 3 13 14 6 7 1 2 11 9
"MYNN" 4 3 2 11 9 13 5 14 15 6 1 8 7 12 10
"MYOD1" 7 10 5 14 1 15 4 9 11 13 2 6 8 12 3
"MYOG" 11 2 8 15 1 14 5 7 12 13 10 3 4 9 6
"NANOG" 11 9 4 12 13 15 3 5 14 7 8 6 1 10 2
"NBN" 5 2 1 6 11 13 3 9 15 8 7 10 4 12 14
"NCAPG" 6 8 1 4 2 13 11 14 10 9 3 12 5 15 7
"NCAPG2" 7 6 1 2 5 15 10 14 13 8 3 11 4 12 9
"NCAPH2" 7 14 4 6 3 5 9 11 12 8 1 13 15 10 2
"NCOA1" 8 2 5 13 14 7 4 10 15 9 6 3 1 12 11
"NCOR1" 13 2 8 7 12 14 5 3 15 9 10 6 1 4 11
"NCOR2" 14 8 11 6 10 3 7 13 15 2 9 5 1 12 4
"NELFA" 2 11 13 3 12 7 14 9 15 8 5 6 10 4 1
"NELFE" 2 12 3 5 7 15 11 4 13 8 6 10 14 9 1
"NEUROD1" 8 6 12 3 13 15 5 10 9 2 11 7 1 14 4
"NEUROG2" 8 4 3 2 6 11 13 14 15 10 5 12 9 7 1
"NFAT5" 11 8 10 7 12 1 4 3 15 6 9 13 2 5 14
"NFATC1" 13 5 1 14 9 12 2 8 15 7 3 6 4 11 10
"NFATC3" 11 6 2 7 8 15 4 12 14 5 3 10 1 13 9
"NFE2" 12 5 10 6 4 14 11 8 13 1 9 15 7 3 2
"NFE2L1" 13 6 10 14 4 2 3 1 9 11 5 7 15 8 12
"NFE2L2" 8 10 12 11 2 6 7 5 15 9 1 14 4 3 13
"NFIA" 14 2 9 10 13 15 1 7 8 12 11 4 6 3 5
"NFIC" 14 1 8 15 13 2 7 11 9 10 12 4 3 5 6
"NFIL3" 11 14 5 9 4 15 2 8 6 7 3 1 10 13 12
"NFKB1" 12 5 8 3 1 13 6 10 15 4 7 11 2 9 14
"NFKB2" 6 14 4 13 5 15 3 9 11 8 10 7 1 12 2
"NFRKB" 2 10 9 8 11 14 12 13 15 5 6 7 3 4 1
"NFYA" 5 2 1 9 11 15 12 13 14 3 4 10 8 7 6
"NFYB" 5 2 3 10 15 14 8 13 11 7 4 1 12 9 6
"NFYC" 3 10 2 13 14 4 12 7 15 6 5 8 11 9 1
"NIPBL" 7 1 4 13 8 12 9 14 15 5 3 10 2 6 11
"NKRF" 4 7 3 1 6 13 12 14 15 9 2 10 8 11 5
"NKX2-1" 5 12 10 6 9 11 15 13 14 2 3 4 8 1 7
"NKX3-1" 8 2 4 15 5 14 11 10 12 7 3 1 6 13 9
"NME2" 3 11 9 4 5 15 13 1 14 7 2 6 10 12 8
"NONO" 8 6 2 1 11 15 12 13 14 7 4 5 10 9 3
"NOTCH1" 8 10 4 1 5 14 6 13 15 9 3 11 2 12 7
"NOTCH3" 4 8 5 13 3 11 2 15 14 9 1 12 7 10 6
"NPAT" 10 6 3 9 11 8 7 14 15 5 2 12 1 4 13
"NR0B1" 6 9 8 12 11 5 10 3 4 2 1 14 13 15 7
"NR1H2" 4 14 15 11 10 1 7 3 13 8 9 6 12 2 5
"NR1H3" 7 8 6 5 15 11 2 4 1 3 12 13 10 14 9
"NR2C2" 10 5 4 9 14 6 11 8 15 3 7 12 1 2 13
"NR2F1" 11 6 12 9 15 13 2 14 8 3 10 1 5 4 7
"NR2F2" 9 3 7 10 15 6 2 1 13 11 12 5 4 14 8
"NR2F6" 2 7 8 5 14 6 15 12 3 10 13 9 4 11 1
"NR3C1" 13 8 9 14 3 10 1 7 6 2 4 11 12 5 15
"NR4A1" 8 10 12 6 13 2 3 14 15 7 9 1 5 4 11
"NR5A2" 12 7 9 3 14 13 4 15 1 8 11 6 2 10 5
"NRF1" 6 2 3 7 12 14 11 9 15 8 5 10 13 4 1
"NUP98-HOXA9" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"OGT" 8 6 7 4 14 10 9 12 15 2 11 3 5 1 13
"ORC1" 7 9 3 1 4 15 12 11 10 8 2 14 5 13 6
"ORC2" 9 4 6 1 12 15 10 13 14 5 2 8 3 11 7
"OSR2" 8 4 6 9 3 15 11 12 14 10 7 1 5 13 2
"OTX2" 7 11 6 8 5 15 9 10 13 3 1 12 4 14 2
"OVOL3" 2 9 3 8 7 13 12 15 14 6 1 10 4 11 5
"PAF1" 4 5 7 14 8 12 10 13 11 9 6 1 15 3 2
"PARP1" 9 2 1 7 10 15 13 14 11 5 3 6 8 12 4
"PATZ1" 5 2 6 10 15 7 12 11 14 8 9 4 13 3 1
"PAX3" 5 4 3 8 2 11 14 12 13 9 1 6 7 15 10
"PAX5" 9 8 3 6 5 14 11 15 13 2 4 7 1 10 12
"PAX6" 12 9 2 11 10 8 4 6 13 15 1 7 5 14 3
"PBX1" 6 1 3 12 14 13 9 10 15 11 7 4 8 2 5
"PBX2" 4 8 5 14 12 15 2 6 13 3 7 10 9 1 11
"PBX3" 9 4 7 14 11 3 12 13 10 5 8 2 6 1 15
"PCGF1" 3 9 5 6 7 15 10 8 13 4 2 14 12 11 1
"PCGF2" 2 5 10 12 14 13 8 3 15 7 9 6 11 4 1
"PDX1" 4 13 8 1 9 10 15 12 3 5 6 11 2 14 7
"PGBD3" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"PGR" 11 2 9 12 14 3 6 13 15 8 10 4 7 5 1
"PHF2" 6 2 5 10 13 11 12 14 15 8 4 1 9 3 7
"PHF6" 6 4 1 3 12 8 13 14 15 10 2 11 5 9 7
"PHF8" 8 3 5 7 15 11 12 14 13 9 4 1 6 10 2
"PHIP" 10 2 3 13 12 14 5 11 15 7 4 8 1 6 9
"PHOX2B" 11 15 4 3 12 8 7 10 13 1 9 6 2 14 5
"PIAS1" 12 5 8 10 11 6 4 14 15 9 7 3 1 2 13
"PITX3" 10 4 8 11 2 15 13 6 14 9 3 12 7 1 5
"PKNOX1" 5 3 6 4 10 14 12 13 15 11 8 7 9 1 2
"PLRG1" 13 6 2 8 3 12 9 10 15 5 4 11 14 1 7
"PMEL" 2 6 14 4 13 9 11 1 3 5 10 15 8 12 7
"PML" 10 12 7 11 1 14 4 9 15 8 5 13 2 6 3
"POLR2A" 10 4 9 11 1 13 7 14 15 8 2 12 6 3 5
"POLR2AphosphoS5" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"POLR2B" 7 3 1 4 8 12 13 14 15 5 2 9 6 11 10
"POLR2H" 3 8 5 4 10 15 12 11 14 6 1 7 9 13 2
"POLR2M" 10 6 11 12 14 3 4 9 15 7 8 2 5 1 13
"POLR3A" 10 2 1 3 7 15 11 12 14 8 9 4 6 13 5
"POLR3D" 11 9 1 3 7 14 10 13 15 6 2 12 8 5 4
"POU2F1" 4 2 3 12 13 14 7 10 15 8 6 9 1 11 5
"POU2F2" 10 6 3 13 7 14 4 9 15 2 5 8 1 11 12
"POU3F2" 9 10 4 7 11 15 13 8 6 1 2 12 5 14 3
"POU5F1" 3 14 9 6 11 13 1 2 10 8 7 12 5 15 4
"PPARD" 3 13 7 11 1 14 10 9 15 5 6 12 8 2 4
"PPARG" 1 10 11 2 15 3 6 4 7 8 9 14 5 12 13
"PPARGC1A" 15 14 10 6 12 1 4 2 3 8 11 9 5 7 13
"PR" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"PRAME" 11 9 3 10 8 14 5 4 12 6 2 13 7 15 1
"PRDM1" 11 9 7 8 2 13 4 14 15 6 5 12 3 1 10
"PRDM10" 8 2 6 5 9 13 12 14 15 7 4 3 1 10 11
"PRDM11" 14 11 13 10 4 3 8 5 15 12 1 9 6 2 7
"PRDM12" 7 9 6 1 11 13 14 3 5 8 10 4 2 15 12
"PRDM14" 11 12 7 6 13 14 3 1 9 8 5 10 2 15 4
"PRDM2" 3 2 6 11 9 13 12 14 15 4 5 7 8 1 10
"PRDM6" 5 2 8 12 14 13 10 11 15 1 3 4 6 7 9
"PRKDC" 8 5 1 6 3 14 12 13 15 7 2 10 4 11 9
"PRMT1" 3 10 6 2 5 12 14 11 15 9 4 8 13 7 1
"PRMT5" 10 4 5 1 3 14 11 12 15 7 2 6 8 13 9
"PROX1" 14 13 6 2 10 11 12 15 1 5 7 9 3 4 8
"PSIP1" 13 7 1 8 14 11 3 12 15 9 6 10 5 2 4
"PTPN11" 13 4 3 7 11 1 8 6 15 10 5 12 2 9 14
"PTRF" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"PTTG1" 6 10 5 2 1 15 12 14 11 9 3 13 8 7 4
"PYGO2" 3 1 2 10 12 14 15 11 13 6 8 7 9 4 5
"RAC3" 7 4 2 12 9 11 15 10 6 8 5 1 13 14 3
"RAD21" 8 2 1 4 6 13 12 15 14 7 3 11 5 9 10
"RAD51" 5 8 3 1 4 15 11 14 10 9 2 12 6 13 7
"RAG2" 10 11 12 13 14 5 7 4 15 9 6 8 3 1 2
"RARA" 11 1 9 10 14 15 2 4 8 5 12 13 6 7 3
"RARG" 2 5 6 8 1 14 11 13 15 10 3 12 9 4 7
"RB1" 12 5 13 7 3 14 1 4 15 9 6 11 2 8 10
"RBBP5" 14 1 2 7 11 12 9 15 13 3 4 10 8 6 5
"RBCK1" 2 12 15 1 13 3 6 5 9 11 10 8 7 14 4
"RBL1" 5 7 1 4 6 14 9 12 15 8 3 13 2 11 10
"RBL2" 12 6 11 10 13 1 3 9 15 5 7 2 8 4 14
"RBP2" 10 3 5 1 15 9 11 13 6 4 7 12 2 14 8
"RBPJ" 11 6 8 12 13 4 2 14 15 1 10 5 3 9 7
"RCOR1" 10 4 5 8 1 12 11 14 15 6 3 9 2 13 7
"REL" 3 4 7 10 6 14 9 13 15 5 2 11 1 8 12
"RELA" 5 10 6 8 2 13 11 14 15 9 7 3 4 12 1
"RELB" 9 13 4 6 3 15 8 10 12 7 1 14 2 11 5
"REPIN1" 11 7 9 1 15 2 14 6 8 10 12 5 3 13 4
"REST" 11 1 4 13 12 3 10 14 15 9 6 8 2 5 7
"RFX1" 8 7 11 4 14 10 12 5 15 6 13 9 3 2 1
"RFX2" 3 10 13 11 1 15 4 8 14 6 7 12 2 9 5
"RFX5" 8 3 1 9 13 14 12 10 15 2 7 11 6 4 5
"RING1" 4 11 12 13 9 15 10 8 5 6 7 3 14 1 2
"RNF2" 4 1 3 12 8 14 6 13 15 5 2 10 9 11 7
"RPE" 12 4 1 3 11 14 10 7 15 5 2 9 6 8 13
"RUNX1" 6 1 3 8 7 14 10 13 15 2 5 12 4 9 11
"RUNX1T1" 12 3 7 11 13 10 2 15 14 4 8 5 1 6 9
"RUNX2" 8 2 5 11 6 14 9 13 15 3 4 10 7 1 12
"RUNX3" 13 9 2 8 3 15 4 10 14 6 1 12 5 11 7
"RUVBL1" 6 7 5 3 4 12 13 8 15 9 1 10 11 14 2
"RXRA" 3 4 13 11 2 12 7 15 1 9 5 8 10 6 14
"RXRG" 14 9 12 13 7 8 11 15 4 3 5 6 10 1 2
"RYBP" 4 2 3 12 14 10 7 8 15 9 13 1 11 6 5
"SAP30" 10 4 2 6 12 15 1 13 14 11 8 5 3 9 7
"SATB1" 4 12 8 7 14 1 11 6 15 9 10 3 5 2 13
"SCML2" 15 5 1 3 13 9 14 12 4 10 2 7 6 11 8
"SCRT1" 11 2 5 12 15 1 14 4 13 8 9 6 3 10 7
"SCRT2" 14 11 1 7 13 4 9 8 15 12 6 10 2 5 3
"SETD1A" 4 6 7 8 9 13 14 3 15 10 5 12 1 11 2
"SETDB1" 6 2 1 9 14 15 7 11 13 3 5 12 8 10 4
"SETX" 14 3 5 11 6 12 4 10 15 8 9 7 2 1 13
"SF1" 9 7 6 3 11 13 12 14 15 10 5 1 4 8 2
"SFPQ" 3 6 2 5 9 14 12 13 15 8 4 7 10 11 1
"SIN3A" 11 1 4 13 12 8 10 14 15 7 2 6 5 3 9
"SIRT1" 11 1 6 8 14 13 2 12 15 4 10 3 7 5 9
"SIRT6" 3 13 12 1 9 7 14 4 15 11 10 5 8 6 2
"SIX1" 6 4 5 14 7 9 11 15 13 2 3 1 10 12 8
"SIX2" 3 4 2 10 5 15 12 11 13 7 1 8 6 14 9
"SIX4" 7 2 6 13 10 8 15 12 14 5 3 4 9 11 1
"SIX5" 10 4 7 13 8 12 15 11 14 9 5 1 6 2 3
"SKI" 12 7 2 10 11 15 3 13 14 4 9 5 1 6 8
"SMAD1" 14 2 3 8 4 5 9 13 15 6 1 11 7 12 10
"SMAD2" 9 4 3 14 12 6 8 13 15 5 2 11 10 1 7
"SMAD2-SMAD3" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"SMAD3" 1 10 14 11 5 3 8 6 13 9 2 12 7 4 15
"SMAD4" 11 5 7 14 15 4 3 9 13 8 6 1 12 2 10
"SMAD5" 9 1 8 7 11 10 2 13 15 6 4 3 5 12 14
"SMARCA2" 9 1 2 11 13 6 5 8 15 10 7 3 12 4 14
"SMARCA4" 3 8 2 4 9 13 14 12 15 11 7 5 10 6 1
"SMARCA5" 8 1 2 7 12 14 10 13 15 4 5 9 6 3 11
"SMARCB1" 3 12 5 4 8 9 14 10 15 11 2 7 13 6 1
"SMARCC1" 6 3 1 2 11 13 14 12 15 9 8 4 7 10 5
"SMARCC2" 9 1 13 8 14 12 4 7 15 6 5 10 3 2 11
"SMARCE1" 2 1 6 12 13 15 9 4 14 7 10 3 11 8 5
"SMC1A" 10 3 1 2 7 11 9 14 15 8 5 12 4 13 6
"SMC3" 9 3 1 6 5 15 10 13 14 7 4 11 2 8 12
"SMN1" 1 2 8 6 12 15 11 14 9 5 3 7 13 10 4
"SNAI2" 5 4 3 11 1 14 6 15 10 9 2 8 7 13 12
"SNAPC1" 6 12 8 14 2 9 4 11 15 3 1 10 13 5 7
"SND1" 14 6 4 2 11 15 9 10 8 5 7 1 12 13 3
"SON" 8 2 3 11 10 12 5 14 15 6 9 7 1 4 13
"SOX10" 14 5 10 6 12 1 7 9 2 8 13 3 15 11 4
"SOX11" 11 3 1 10 4 12 2 13 14 7 8 15 6 5 9
"SOX13" 3 1 7 9 13 15 5 14 8 11 4 6 10 12 2
"SOX2" 5 9 10 8 2 12 15 13 11 3 1 6 4 14 7
"SOX4" 3 5 2 10 13 14 12 7 15 4 8 11 9 6 1
"SOX9" 15 7 3 1 10 14 9 4 13 12 11 5 2 8 6
"SP1" 5 2 7 8 12 14 4 3 15 10 6 11 1 13 9
"SP140" 12 6 2 10 7 15 5 11 13 1 4 14 3 8 9
"SP2" 9 2 7 4 11 13 12 14 15 8 3 5 1 6 10
"SP3" 11 1 3 8 9 14 6 13 15 4 2 10 5 7 12
"SP4" 11 8 7 13 12 9 5 14 15 3 6 4 2 1 10
"SP7" 11 8 6 10 7 15 9 13 14 5 3 12 4 2 1
"SPDEF" 8 2 5 6 10 15 12 14 11 4 9 1 7 13 3
"SPI1" 15 7 3 11 10 12 2 5 13 1 6 14 4 8 9
"SPIB" 12 8 1 6 9 15 10 14 13 2 4 5 3 11 7
"SPIN1" 12 1 5 14 13 6 3 8 15 11 9 7 10 4 2
"SRC" 1 11 10 3 6 14 13 7 15 8 4 5 2 12 9
"SRCAP" 10 2 7 8 9 4 14 12 15 3 5 13 1 11 6
"SREBF1" 5 1 9 11 8 3 15 14 10 13 6 2 12 7 4
"SREBF2" 12 9 8 3 5 1 15 14 11 7 2 6 4 13 10
"SRF" 9 8 3 5 6 15 11 13 14 10 4 2 1 12 7
"SRSF3" 4 5 1 2 9 15 12 13 14 8 3 7 10 11 6
"SS18" 8 1 2 14 12 5 10 11 15 9 7 6 13 4 3
"SSRP1" 5 8 1 3 4 14 12 13 15 7 2 9 10 11 6
"SSU72" 4 10 3 6 9 14 15 12 13 5 8 2 11 7 1
"STAG1" 10 3 1 7 6 14 5 13 15 9 2 11 4 8 12
"STAT1" 12 7 2 10 1 15 8 9 13 3 6 14 4 5 11
"STAT2" 5 6 4 14 3 15 7 11 12 1 2 13 10 8 9
"STAT3" 13 2 3 12 4 15 8 11 14 1 5 7 6 9 10
"STAT4" 14 10 4 12 7 15 3 8 9 1 6 13 5 2 11
"STAT5" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"STAT5A" 8 3 1 5 10 14 7 4 15 9 13 12 6 2 11
"STAT5B" 11 4 8 7 15 6 1 2 14 9 12 5 10 3 13
"SUMO1" 7 3 1 11 12 15 10 13 8 4 2 6 14 5 9
"SUMO2" 2 4 1 13 9 15 10 12 14 5 3 8 7 6 11
"SUPT5H" 5 12 2 9 8 14 11 13 15 7 4 6 10 3 1
"SUZ12" 5 3 4 7 11 9 13 14 15 6 2 10 1 8 12
"TAF1" 8 1 5 6 13 12 9 14 15 7 4 10 2 3 11
"TAF3" 4 3 2 11 10 13 5 12 15 6 8 14 1 7 9
"TAF7" 11 3 9 6 13 12 2 7 15 5 8 1 14 4 10
"TAFII" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"TAL1" 10 3 7 14 12 5 1 13 11 4 9 8 6 2 15
"TARDBP" 2 3 1 8 7 15 11 12 14 9 4 6 13 10 5
"TAT" 6 2 3 12 15 14 10 5 1 4 11 9 7 13 8
"TAZ" 3 14 11 1 12 13 9 2 7 5 4 15 8 10 6
"TBL1X" 14 6 7 13 15 4 1 5 10 8 3 2 12 11 9
"TBL1XR1" 7 3 5 13 9 14 6 11 15 10 1 2 8 4 12
"TBP" 10 4 3 2 7 14 13 12 15 9 1 11 5 8 6
"TBX21" 14 9 3 13 10 15 1 8 11 2 5 12 4 6 7
"TBX5" 6 3 4 12 10 15 8 13 14 1 2 5 7 9 11
"TCF12" 13 2 7 4 14 10 3 12 15 9 6 8 1 11 5
"TCF21" 6 14 15 4 13 10 5 8 9 3 7 1 2 12 11
"TCF4" 12 3 5 13 7 11 1 15 14 8 2 10 4 6 9
"TCF7" 11 9 5 1 12 8 14 15 7 6 10 13 3 2 4
"TCF7L1" 13 7 1 15 6 12 5 14 8 4 3 9 10 11 2
"TCF7L2" 7 9 3 2 14 15 5 12 13 4 10 8 1 6 11
"TCOF1" 5 10 6 1 2 14 13 9 15 8 7 11 3 12 4
"TDRD3" 9 3 8 5 14 10 1 2 15 12 13 7 11 4 6
"TEAD1" 13 6 10 11 8 9 2 5 15 3 7 14 4 1 12
"TEAD1-TEAD4" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"TEAD2" 13 5 2 9 7 6 11 8 15 4 3 10 12 14 1
"TEAD4" 12 9 3 1 2 14 7 8 15 10 5 13 4 11 6
"TERC" 6 9 2 11 3 12 5 14 8 13 1 15 4 7 10
"TERF1" 7 1 2 9 13 14 6 11 15 8 3 5 4 12 10
"TERF2" 7 12 3 1 13 14 8 6 15 9 11 10 2 4 5
"TET1" 11 5 1 14 10 15 8 12 13 7 3 6 4 9 2
"TET2" 8 3 5 14 7 6 4 13 15 9 1 10 2 12 11
"TET3" 4 7 2 8 5 15 12 13 14 9 1 10 3 11 6
"TFAP2A" 6 1 3 11 2 9 12 13 14 10 4 7 8 15 5
"TFAP2C" 5 3 1 12 2 10 14 13 15 7 4 6 11 9 8
"TFAP4" 6 8 4 1 7 14 13 12 15 10 2 9 5 11 3
"TFDP1" 6 8 2 1 4 14 12 13 15 9 3 10 5 11 7
"TGIF2" 6 5 1 4 10 9 12 14 15 7 2 13 8 11 3
"THAP1" 11 1 2 8 12 14 7 13 15 6 5 9 4 3 10
"THAP11" 4 11 6 1 7 14 8 5 15 9 2 13 10 12 3
"TLE3" 12 1 9 13 5 11 10 14 15 8 3 2 6 4 7
"TLX1" 6 9 4 1 7 15 13 14 3 10 5 11 2 12 8
"TOP1" 10 4 5 3 8 13 12 14 15 1 6 9 2 7 11
"TP53" 5 3 4 2 13 15 12 8 14 10 9 7 6 11 1
"TP63" 3 5 7 14 2 12 11 15 13 6 1 4 9 8 10
"TP73" 4 6 10 9 1 15 13 14 11 5 2 7 8 12 3
"TRAF7" 9 6 7 1 3 13 15 10 14 8 2 11 5 12 4
"TRIM22" 12 8 5 13 4 14 1 6 15 3 7 11 9 2 10
"TRIM24" 1 7 3 9 15 14 13 11 5 6 8 4 2 12 10
"TRIM25" 11 7 5 1 3 15 8 10 14 9 4 13 2 12 6
"TRIM28" 3 7 8 2 6 12 14 13 15 10 4 9 5 11 1
"TRRAP" 12 8 2 4 14 9 13 3 15 7 6 10 1 5 11
"TSC22D4" 3 14 7 8 12 1 13 5 15 9 10 2 11 6 4
"TSHZ1" 13 5 11 9 15 12 1 2 14 8 10 4 6 7 3
"TTF1" 6 1 2 9 8 14 12 13 15 7 5 4 11 3 10
"TTF2" 5 8 3 2 7 13 12 10 15 9 1 14 4 11 6
"U2AF1" 2 8 7 9 14 15 4 10 13 3 6 11 1 5 12
"UBE2I" 5 3 6 2 10 11 14 4 15 9 8 12 13 1 7
"UBTF" 5 4 7 9 10 12 13 6 15 11 8 3 14 2 1
"UHRF2" 8 3 1 4 11 14 10 13 15 7 5 2 6 9 12
"USF1" 1 5 3 9 11 15 10 12 7 4 6 14 13 8 2
"USF2" 2 8 6 12 14 1 10 9 13 11 4 7 15 3 5
"USP49" 5 6 1 11 13 14 10 12 15 2 3 8 4 9 7
"VDR" 9 7 6 1 3 2 13 12 15 4 8 14 5 11 10
"VEZF1" 13 1 11 12 14 10 4 3 15 5 8 9 7 2 6
"WDHD1" 7 6 3 5 2 13 12 11 15 8 1 14 4 10 9
"WDR5" 8 6 4 1 2 14 12 13 11 10 3 7 9 15 5
"WHSC1" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"WRNIP1" 6 11 1 2 8 15 12 13 14 9 3 7 10 5 4
"WT1" 11 5 2 6 13 15 3 10 12 8 4 7 9 14 1
"WWTR1" 13 9 3 15 7 12 1 2 14 5 4 8 6 10 11
"XBP1" 15 8 6 12 10 11 1 7 14 5 3 2 4 13 9
"XCL1" 2 11 7 13 3 15 4 12 9 6 1 14 8 10 5
"XRN2" 9 1 5 3 8 6 12 11 15 7 2 13 4 10 14
"YAP1" 9 12 8 6 3 13 7 14 15 2 5 10 4 1 11
"YBX1" 7 13 2 1 4 15 9 10 14 8 3 11 6 12 5
"YBX3" 5 14 6 9 1 13 3 4 15 11 2 10 7 8 12
"YY1" 10 5 4 6 9 13 11 14 15 8 3 12 1 2 7
"ZBED1" 13 7 8 3 10 15 1 12 11 6 5 4 9 14 2
"ZBTB1" 9 1 6 10 12 11 4 13 15 3 5 2 8 7 14
"ZBTB10" 11 5 3 12 15 2 4 9 10 8 13 1 14 6 7
"ZBTB11" 9 2 5 11 6 14 10 12 15 4 1 7 3 8 13
"ZBTB14" 9 2 4 11 14 13 1 7 15 6 5 8 12 3 10
"ZBTB16" 11 9 12 14 13 5 2 6 4 7 10 1 8 3 15
"ZBTB17" 2 9 8 13 4 14 12 10 15 6 5 3 11 7 1
"ZBTB2" 9 2 3 7 10 15 11 13 14 8 5 12 4 1 6
"ZBTB26" 13 1 6 7 14 9 5 11 15 12 8 2 4 3 10
"ZBTB33" 11 4 2 7 10 8 14 15 9 6 3 12 5 1 13
"ZBTB40" 10 1 8 12 14 11 4 13 15 5 9 2 3 7 6
"ZBTB42" 11 2 10 8 13 6 7 14 15 4 9 1 12 3 5
"ZBTB48" 3 9 12 10 13 15 8 6 11 5 7 2 14 4 1
"ZBTB6" 11 1 3 6 7 13 10 14 15 5 4 9 2 8 12
"ZBTB7A" 5 6 14 2 4 3 13 9 15 11 10 8 1 7 12
"ZBTB7B" 6 2 4 8 5 15 13 14 10 7 11 1 3 12 9
"ZBTB8A" 4 2 6 11 12 14 13 9 15 8 10 5 7 1 3
"ZC3H8" 5 4 3 2 8 14 13 11 15 9 1 6 7 12 10
"ZEB1" 15 3 7 13 12 11 1 10 9 5 8 4 2 6 14
"ZEB2" 13 5 6 11 10 12 1 3 15 2 7 9 4 8 14
"ZFAT" 13 4 2 14 12 10 1 9 15 5 3 6 11 7 8
"ZFP2" 11 5 7 12 15 8 1 4 13 9 14 2 10 3 6
